day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
1.00,6.00,2012.00,29.00,57.00,18.00,0.00,65.70,3.40,7.60,1.30,3.40,0.50,0
2.00,6.00,2012.00,29.00,61.00,13.00,1.30,64.40,4.10,7.60,1.00,3.90,0.40,0
3.00,6.00,2012.00,26.00,82.00,22.00,13.10,47.10,2.50,7.10,0.30,2.70,0.10,0
4.00,6.00,2012.00,25.00,89.00,13.00,2.50,28.60,1.30,6.90,0.00,1.70,0.00,0
5.00,6.00,2012.00,27.00,77.00,16.00,0.00,64.80,3.00,14.20,1.20,3.90,0.50,0
6.00,6.00,2012.00,31.00,67.00,14.00,0.00,82.60,5.80,22.20,3.10,7.00,2.50,1
7.00,6.00,2012.00,33.00,54.00,13.00,0.00,88.20,9.90,30.50,6.40,10.90,7.20,1
8.00,6.00,2012.00,30.00,73.00,15.00,0.00,86.60,12.10,38.30,5.60,13.50,7.10,1
9.00,6.00,2012.00,25.00,88.00,13.00,0.20,52.90,7.90,38.80,0.40,10.50,0.30,0
10.00,6.00,2012.00,28.00,79.00,12.00,0.00,73.20,9.50,46.30,1.30,12.60,0.90,0
11.00,6.00,2012.00,31.00,65.00,14.00,0.00,84.50,12.50,54.30,4.00,15.80,5.60,1
12.00,6.00,2012.00,26.00,81.00,19.00,0.00,84.00,13.80,61.40,4.80,17.70,7.10,1
13.00,6.00,2012.00,27.00,84.00,21.00,1.20,50.00,6.70,17.00,0.50,6.70,0.20,0
14.00,6.00,2012.00,30.00,78.00,20.00,0.50,59.00,4.60,7.80,1.00,4.40,0.40,0
15.00,6.00,2012.00,28.00,80.00,17.00,3.10,49.40,3.00,7.40,0.40,3.00,0.10,0
16.00,6.00,2012.00,29.00,89.00,13.00,0.70,36.10,1.70,7.60,0.00,2.20,0.00,0
17.00,6.00,2012.00,30.00,89.00,16.00,0.60,37.30,1.10,7.80,0.00,1.60,0.00,0
18.00,6.00,2012.00,31.00,78.00,14.00,0.30,56.90,1.90,8.00,0.70,2.40,0.20,0
19.00,6.00,2012.00,31.00,55.00,16.00,0.10,79.90,4.50,16.00,2.50,5.30,1.40,0
20.00,6.00,2012.00,30.00,80.00,16.00,0.40,59.80,3.40,27.10,0.90,5.10,0.40,0
21.00,6.00,2012.00,30.00,78.00,14.00,0.00,81.00,6.30,31.60,2.60,8.40,2.20,1
22.00,6.00,2012.00,31.00,67.00,17.00,0.10,79.10,7.00,39.50,2.40,9.70,2.30,0
23.00,6.00,2012.00,32.00,62.00,18.00,0.10,81.40,8.20,47.70,3.30,11.50,3.80,1
24.00,6.00,2012.00,32.00,66.00,17.00,0.00,85.90,11.20,55.80,5.60,14.90,7.50,1
25.00,6.00,2012.00,31.00,64.00,15.00,0.00,86.70,14.20,63.80,5.70,18.30,8.40,1
26.00,6.00,2012.00,31.00,64.00,18.00,0.00,86.80,17.80,71.80,6.70,21.60,10.60,1
27.00,6.00,2012.00,34.00,53.00,18.00,0.00,89.00,21.60,80.30,9.20,25.80,15.00,1
28.00,6.00,2012.00,32.00,55.00,14.00,0.00,89.10,25.50,88.50,7.60,29.70,13.90,1
29.00,6.00,2012.00,32.00,47.00,13.00,0.30,79.90,18.40,84.40,2.20,23.80,3.90,0
30.00,6.00,2012.00,33.00,50.00,14.00,0.00,88.70,22.90,92.80,7.20,28.30,12.90,1
1.00,7.00,2012.00,29.00,68.00,19.00,1.00,59.90,2.50,8.60,1.10,2.90,0.40,0
2.00,7.00,2012.00,27.00,75.00,19.00,1.20,55.70,2.40,8.30,0.80,2.80,0.30,0
3.00,7.00,2012.00,32.00,76.00,20.00,0.70,63.10,2.60,9.20,1.30,3.00,0.50,0
4.00,7.00,2012.00,33.00,78.00,17.00,0.00,80.10,4.60,18.50,2.70,5.70,1.70,0
5.00,7.00,2012.00,33.00,66.00,14.00,0.00,85.90,7.60,27.90,4.80,9.10,4.90,1
6.00,7.00,2012.00,32.00,63.00,14.00,0.00,87.00,10.90,37.00,5.60,12.50,6.80,1
7.00,7.00,2012.00,35.00,64.00,18.00,0.20,80.00,9.70,40.40,2.80,12.10,3.20,0
8.00,7.00,2012.00,33.00,68.00,19.00,0.00,85.60,12.50,49.80,6.00,15.40,8.00,1
9.00,7.00,2012.00,32.00,68.00,14.00,1.40,66.60,7.70,9.20,1.10,7.40,0.60,0
10.00,7.00,2012.00,33.00,69.00,13.00,0.70,66.60,6.00,9.30,1.10,5.80,0.50,0
11.00,7.00,2012.00,33.00,76.00,14.00,0.00,81.10,8.10,18.70,2.60,8.10,2.20,0
12.00,7.00,2012.00,31.00,75.00,13.00,0.10,75.10,7.90,27.70,1.50,9.20,0.90,0
13.00,7.00,2012.00,34.00,81.00,15.00,0.00,81.80,9.70,37.20,3.00,11.70,3.40,0
14.00,7.00,2012.00,34.00,61.00,13.00,0.60,73.90,7.80,22.90,1.40,8.40,0.80,0
15.00,7.00,2012.00,30.00,80.00,19.00,0.40,60.70,5.20,17.00,1.10,5.90,0.50,0
16.00,7.00,2012.00,28.00,76.00,21.00,0.00,72.60,7.00,25.50,0.70,8.30,0.40,0
17.00,7.00,2012.00,29.00,70.00,14.00,0.00,82.80,9.40,34.10,3.20,11.10,3.60,1
18.00,7.00,2012.00,31.00,68.00,14.00,0.00,85.40,12.10,43.10,4.60,14.20,6.00,1
19.00,7.00,2012.00,35.00,59.00,17.00,0.00,88.10,12.00,52.80,7.70,18.20,10.90,1
20.00,7.00,2012.00,33.00,65.00,15.00,0.10,81.40,12.30,62.10,2.80,16.50,4.00,1
21.00,7.00,2012.00,33.00,70.00,17.00,0.00,85.40,18.50,71.50,5.20,22.40,8.80,1
22.00,7.00,2012.00,28.00,79.00,18.00,0.10,73.40,16.40,79.90,1.80,21.70,2.80,0
23.00,7.00,2012.00,27.00,66.00,22.00,0.40,68.20,10.50,71.30,1.80,15.40,2.10,0
24.00,7.00,2012.00,28.00,78.00,16.00,0.10,70.00,9.60,79.70,1.40,14.70,1.30,0
25.00,7.00,2012.00,31.00,65.00,18.00,0.00,84.30,12.50,88.70,4.80,18.50,7.30,1
26.00,7.00,2012.00,36.00,53.00,19.00,0.00,89.20,17.10,98.60,10.00,23.90,15.30,1
27.00,7.00,2012.00,36.00,48.00,13.00,0.00,90.30,22.20,108.50,8.70,29.40,15.30,1
28.00,7.00,2012.00,33.00,76.00,15.00,0.00,86.50,24.40,117.80,5.60,32.10,11.30,1
29.00,7.00,2012.00,32.00,73.00,15.00,0.00,86.60,26.70,127.00,5.60,35.00,11.90,1
30.00,7.00,2012.00,31.00,79.00,15.00,0.00,85.40,28.50,136.00,4.70,37.40,10.70,1
31.00,7.00,2012.00,35.00,64.00,17.00,0.00,87.20,31.90,145.70,6.80,41.20,15.70,1
1.00,8.00,2012.00,36.00,45.00,14.00,0.00,78.80,4.80,10.20,2.00,4.70,0.90,0
2.00,8.00,2012.00,35.00,55.00,12.00,0.40,78.00,5.80,10.00,1.70,5.50,0.80,0
3.00,8.00,2012.00,35.00,63.00,14.00,0.30,76.60,5.70,10.00,1.70,5.50,0.80,0
4.00,8.00,2012.00,34.00,69.00,13.00,0.00,85.00,8.20,19.80,4.00,8.20,3.90,1
5.00,8.00,2012.00,34.00,65.00,13.00,0.00,86.80,11.10,29.70,5.20,11.50,6.10,1
6.00,8.00,2012.00,32.00,75.00,14.00,0.00,86.40,13.00,39.10,5.20,14.20,6.80,1
7.00,8.00,2012.00,32.00,69.00,16.00,0.00,86.50,15.50,48.60,5.50,17.20,8.00,1
8.00,8.00,2012.00,32.00,60.00,18.00,0.30,77.10,11.30,47.00,2.20,14.10,2.60,0
9.00,8.00,2012.00,35.00,59.00,17.00,0.00,87.40,14.80,57.00,6.90,17.90,9.90,1
10.00,8.00,2012.00,35.00,55.00,14.00,0.00,88.90,18.60,67.00,7.40,21.90,11.60,1
11.00,8.00,2012.00,35.00,63.00,13.00,0.00,88.90,21.70,77.00,7.10,25.50,12.10,1
12.00,8.00,2012.00,35.00,51.00,13.00,0.30,81.30,15.60,75.10,2.50,20.70,4.20,0
13.00,8.00,2012.00,35.00,63.00,15.00,0.00,87.00,19.00,85.10,5.90,24.40,10.20,1
14.00,8.00,2012.00,33.00,66.00,14.00,0.00,87.00,21.70,94.70,5.70,27.20,10.60,1
15.00,8.00,2012.00,36.00,55.00,13.00,0.30,82.40,15.60,92.50,3.70,22.00,6.30,1
16.00,8.00,2012.00,36.00,61.00,18.00,0.30,80.20,11.70,90.40,2.80,17.60,4.20,1
17.00,8.00,2012.00,37.00,52.00,18.00,0.00,89.30,16.00,100.70,9.70,22.90,14.60,1
18.00,8.00,2012.00,36.00,54.00,18.00,0.00,89.40,20.00,110.90,9.70,27.50,16.10,1
19.00,8.00,2012.00,35.00,62.00,19.00,0.00,89.40,23.20,120.90,9.70,31.30,17.20,1
20.00,8.00,2012.00,35.00,68.00,19.00,0.00,88.30,25.90,130.60,8.80,34.70,16.80,1
21.00,8.00,2012.00,36.00,58.00,19.00,0.00,88.60,29.60,141.10,9.20,38.80,18.40,1
22.00,8.00,2012.00,36.00,55.00,18.00,0.00,89.10,33.50,151.30,9.90,43.10,20.40,1
23.00,8.00,2012.00,36.00,53.00,16.00,0.00,89.50,37.60,161.50,10.40,47.50,22.30,1
24.00,8.00,2012.00,34.00,64.00,14.00,0.00,88.90,40.50,171.30,9.00,50.90,20.90,1
25.00,8.00,2012.00,35.00,60.00,15.00,0.00,88.90,43.90,181.30,8.20,54.70,20.30,1
26.00,8.00,2012.00,31.00,78.00,18.00,0.00,85.80,45.60,190.60,4.70,57.10,13.70,1
27.00,8.00,2012.00,33.00,82.00,21.00,0.00,84.90,47.00,200.20,4.40,59.30,13.20,1
28.00,8.00,2012.00,34.00,64.00,16.00,0.00,89.40,50.20,210.40,7.30,62.90,19.90,1
29.00,8.00,2012.00,35.00,48.00,18.00,0.00,90.10,54.20,220.40,12.50,67.40,30.20,1
30.00,8.00,2012.00,35.00,70.00,17.00,0.80,72.70,25.20,180.40,1.70,37.40,4.20,0
31.00,8.00,2012.00,28.00,80.00,21.00,16.80,52.50,8.70,8.70,0.60,8.30,0.30,0
1.00,9.00,2012.00,25.00,76.00,17.00,7.20,46.00,1.30,7.50,0.20,1.80,0.10,0
2.00,9.00,2012.00,22.00,86.00,15.00,10.10,30.50,0.70,7.00,0.00,1.10,0.00,0
3.00,9.00,2012.00,25.00,78.00,15.00,3.80,42.60,1.20,7.50,0.10,1.70,0.00,0
4.00,9.00,2012.00,29.00,73.00,17.00,0.10,68.40,1.90,15.70,1.40,2.90,0.50,0
5.00,9.00,2012.00,29.00,75.00,16.00,0.00,80.80,3.40,24.00,2.80,5.10,1.70,1
6.00,9.00,2012.00,29.00,74.00,19.00,0.10,75.80,3.60,32.20,2.10,5.60,0.90,0
7.00,9.00,2012.00,31.00,71.00,17.00,0.30,69.60,3.20,30.10,1.50,5.10,0.60,0
8.00,9.00,2012.00,30.00,73.00,17.00,0.90,62.00,2.60,8.40,1.10,3.00,0.40,0
9.00,9.00,2012.00,30.00,77.00,15.00,1.00,56.10,2.10,8.40,0.70,2.60,0.20,0
10.00,9.00,2012.00,33.00,73.00,12.00,1.80,59.90,2.20,8.90,0.70,2.70,0.30,0
11.00,9.00,2012.00,30.00,77.00,21.00,1.80,58.50,1.90,8.40,1.10,2.40,0.30,0
12.00,9.00,2012.00,29.00,88.00,13.00,0.00,71.00,2.60,16.60,1.20,3.70,0.50,0
13.00,9.00,2012.00,25.00,86.00,21.00,4.60,40.90,1.30,7.50,0.10,1.80,0.00,0
14.00,9.00,2012.00,22.00,76.00,26.00,8.30,47.40,1.10,7.00,0.40,1.60,0.10,0
15.00,9.00,2012.00,24.00,82.00,15.00,0.40,44.90,0.90,7.30,0.20,1.40,0.00,0
16.00,9.00,2012.00,30.00,65.00,14.00,0.00,78.10,3.20,15.70,1.90,4.20,0.80,0
17.00,9.00,2012.00,31.00,52.00,14.00,0.00,87.70,6.40,24.30,6.20,7.70,5.90,1
18.00,9.00,2012.00,32.00,49.00,11.00,0.00,89.40,9.80,33.10,6.80,11.30,7.70,1
19.00,9.00,2012.00,29.00,57.00,14.00,0.00,89.30,12.50,41.30,7.80,14.20,9.70,1
20.00,9.00,2012.00,28.00,84.00,18.00,0.00,83.80,13.50,49.30,4.50,16.00,6.30,1
21.00,9.00,2012.00,31.00,55.00,11.00,0.00,87.80,16.50,57.90,5.40,19.20,8.30,1
22.00,9.00,2012.00,31.00,50.00,19.00,0.60,77.80,10.60,41.40,2.40,12.90,2.80,0
23.00,9.00,2012.00,32.00,54.00,11.00,0.50,73.70,7.90,30.40,1.20,9.60,0.70,0
24.00,9.00,2012.00,29.00,65.00,19.00,0.60,68.30,5.50,15.20,1.50,5.80,0.70,0
25.00,9.00,2012.00,26.00,81.00,21.00,5.80,48.60,3.00,7.70,0.40,3.00,0.10,0
26.00,9.00,2012.00,31.00,54.00,11.00,0.00,82.00,6.00,16.30,2.50,6.20,1.70,0
27.00,9.00,2012.00,31.00,66.00,11.00,0.00,85.70,8.30,24.90,4.00,9.00,4.10,1
28.00,9.00,2012.00,32.00,47.00,14.00,0.70,77.50,7.10,8.80,1.80,6.80,0.90,0
29.00,9.00,2012.00,26.00,80.00,16.00,1.80,47.40,2.90,7.70,0.30,3.00,0.10,0
30.00,9.00,2012.00,25.00,78.00,14.00,1.40,45.00,1.90,7.50,0.20,2.40,0.10,0
1.00,6.00,2012.00,32.00,71.00,12.00,0.70,57.10,2.50,8.20,0.60,2.80,0.20,0
2.00,6.00,2012.00,30.00,73.00,13.00,4.00,55.70,2.70,7.80,0.60,2.90,0.20,0
3.00,6.00,2012.00,29.00,80.00,14.00,2.00,48.70,2.20,7.60,0.30,2.60,0.10,0
4.00,6.00,2012.00,30.00,64.00,14.00,0.00,79.40,5.20,15.40,2.20,5.60,1.00,0
5.00,6.00,2012.00,32.00,60.00,14.00,0.20,77.10,6.00,17.60,1.80,6.50,0.90,0
6.00,6.00,2012.00,35.00,54.00,11.00,0.10,83.70,8.40,26.30,3.10,9.30,3.10,1
7.00,6.00,2012.00,35.00,44.00,17.00,0.20,85.60,9.90,28.90,5.40,10.70,6.00,1
8.00,6.00,2012.00,28.00,51.00,17.00,1.30,71.40,7.70,7.40,1.50,7.30,0.80,0
9.00,6.00,2012.00,27.00,59.00,18.00,0.10,78.10,8.50,14.70,2.40,8.30,1.90,0
10.00,6.00,2012.00,30.00,41.00,15.00,0.00,89.40,13.30,22.50,8.40,13.10,10.00,1
11.00,6.00,2012.00,31.00,42.00,21.00,0.00,90.60,18.20,30.50,13.40,18.00,16.70,1
12.00,6.00,2012.00,27.00,58.00,17.00,0.00,88.90,21.30,37.80,8.70,21.20,12.90,1
13.00,6.00,2012.00,30.00,52.00,15.00,2.00,72.30,11.40,7.80,1.40,10.90,0.90,0
14.00,6.00,2012.00,27.00,79.00,16.00,0.70,53.40,6.40,7.30,0.50,6.10,0.30,0
15.00,6.00,2012.00,28.00,90.00,15.00,0.00,66.80,7.20,14.70,1.20,7.10,0.60,0
16.00,6.00,2012.00,29.00,87.00,15.00,0.40,47.40,4.20,8.00,0.20,4.10,0.10,0
17.00,6.00,2012.00,31.00,69.00,17.00,4.70,62.20,3.90,8.00,1.10,3.80,0.40,0
18.00,6.00,2012.00,33.00,62.00,10.00,8.70,65.50,4.60,8.30,0.90,4.40,0.40,0
19.00,6.00,2012.00,32.00,67.00,14.00,4.50,64.60,4.40,8.20,1.00,4.20,0.40,0
20.00,6.00,2012.00,31.00,72.00,14.00,0.20,60.20,3.80,8.00,0.80,3.70,0.30,0
21.00,6.00,2012.00,32.00,55.00,14.00,0.00,86.20,8.30,18.40,5.00,8.20,4.90,1
22.00,6.00,2012.00,33.00,46.00,14.00,1.10,78.30,8.10,8.30,1.90,7.70,1.20,0
23.00,6.00,2012.00,33.00,59.00,16.00,0.80,74.20,7.00,8.30,1.60,6.70,0.80,0
24.00,6.00,2012.00,35.00,68.00,16.00,0.00,85.30,10.00,17.00,4.90,9.90,5.30,1
25.00,6.00,2012.00,34.00,70.00,16.00,0.00,86.00,12.80,25.60,5.40,12.70,6.70,1
26.00,6.00,2012.00,36.00,62.00,16.00,0.00,87.80,16.50,34.50,7.00,16.40,9.50,1
27.00,6.00,2012.00,36.00,55.00,15.00,0.00,89.10,20.90,43.30,8.00,20.80,12.00,1
28.00,6.00,2012.00,37.00,37.00,13.00,0.00,92.50,27.20,52.40,11.70,27.10,18.40,1
29.00,6.00,2012.00,37.00,36.00,13.00,0.60,86.20,17.90,36.70,4.80,17.80,7.20,1
30.00,6.00,2012.00,34.00,42.00,15.00,1.70,79.70,12.00,8.50,2.20,11.50,2.20,0
1.00,7.00,2012.00,28.00,58.00,18.00,2.20,63.70,3.20,8.50,1.20,3.30,0.50,0
2.00,7.00,2012.00,33.00,48.00,16.00,0.00,87.60,7.90,17.80,6.80,7.80,6.40,1
3.00,7.00,2012.00,34.00,56.00,17.00,0.10,84.70,9.70,27.30,4.70,10.30,5.20,1
4.00,7.00,2012.00,34.00,58.00,18.00,0.00,88.00,13.60,36.80,8.00,14.10,9.90,1
5.00,7.00,2012.00,34.00,45.00,18.00,0.00,90.50,18.70,46.40,11.30,18.70,15.00,1
6.00,7.00,2012.00,35.00,42.00,15.00,0.30,84.70,15.50,45.10,4.30,16.70,6.30,1
7.00,7.00,2012.00,38.00,43.00,13.00,0.50,85.00,13.00,35.40,4.10,13.70,5.20,1
8.00,7.00,2012.00,35.00,47.00,18.00,6.00,80.80,9.80,9.70,3.10,9.40,3.00,1
9.00,7.00,2012.00,36.00,43.00,15.00,1.90,82.30,9.40,9.90,3.20,9.00,3.10,1
10.00,7.00,2012.00,34.00,51.00,16.00,3.80,77.50,8.00,9.50,2.00,7.70,1.30,0
11.00,7.00,2012.00,34.00,56.00,15.00,2.90,74.80,7.10,9.50,1.60,6.80,0.80,0
12.00,7.00,2012.00,36.00,44.00,13.00,0.00,90.10,12.60,19.40,8.30,12.50,9.60,1
13.00,7.00,2012.00,39.00,45.00,13.00,0.60,85.20,11.30,10.40,4.20,10.90,4.70,1
14.00,7.00,2012.00,37.00,37.00,18.00,0.20,88.90,12.90,14.60,9.00,12.50,10.40,1
15.00,7.00,2012.00,34.00,45.00,17.00,0.00,90.50,18.00,24.10,10.90,17.70,14.10,1
16.00,7.00,2012.00,31.00,83.00,17.00,0.00,84.50,19.40,33.10,4.70,19.20,7.30,1
17.00,7.00,2012.00,32.00,81.00,17.00,0.00,84.60,21.10,42.30,4.70,20.90,7.70,1
18.00,7.00,2012.00,33.00,68.00,15.00,0.00,86.10,23.90,51.60,5.20,23.90,9.10,1
19.00,7.00,2012.00,34.00,58.00,16.00,0.00,88.10,27.80,61.10,7.30,27.70,13.00,1
20.00,7.00,2012.00,36.00,50.00,16.00,0.00,89.90,32.70,71.00,9.50,32.60,17.30,1
21.00,7.00,2012.00,36.00,29.00,18.00,0.00,93.90,39.60,80.60,18.50,39.50,30.00,1
22.00,7.00,2012.00,32.00,48.00,18.00,0.00,91.50,44.20,90.10,13.20,44.00,25.40,1
23.00,7.00,2012.00,31.00,71.00,17.00,0.00,87.30,46.60,99.00,6.90,46.50,16.30,1
24.00,7.00,2012.00,33.00,63.00,17.00,1.10,72.80,20.90,56.60,1.60,21.70,2.50,0
25.00,7.00,2012.00,39.00,64.00,9.00,1.20,73.80,11.70,15.90,1.10,11.40,0.70,0
26.00,7.00,2012.00,35.00,58.00,10.00,0.20,78.30,10.80,19.70,1.60,10.70,1.00,0
27.00,7.00,2012.00,29.00,87.00,18.00,0.00,80.00,11.80,28.30,2.80,11.80,3.20,0
28.00,7.00,2012.00,33.00,57.00,16.00,0.00,87.50,15.70,37.60,6.70,15.70,9.00,1
29.00,7.00,2012.00,34.00,59.00,16.00,0.00,88.10,19.50,47.20,7.40,19.50,10.90,1
30.00,7.00,2012.00,36.00,56.00,16.00,0.00,88.90,23.80,57.10,8.20,23.80,13.20,1
31.00,7.00,2012.00,37.00,55.00,15.00,0.00,89.30,28.30,67.20,8.30,28.30,14.50,1
1.00,8.00,2012.00,38.00,52.00,14.00,0.00,78.30,4.40,10.50,2.00,4.40,0.80,0
2.00,8.00,2012.00,40.00,34.00,14.00,0.00,93.30,10.80,21.40,13.80,10.60,13.50,1
3.00,8.00,2012.00,39.00,33.00,17.00,0.00,93.70,17.10,32.10,17.20,16.90,19.50,1
4.00,8.00,2012.00,38.00,35.00,15.00,0.00,93.80,23.00,42.70,15.70,22.90,20.90,1
5.00,8.00,2012.00,34.00,42.00,17.00,0.10,88.30,23.60,52.50,19.00,23.50,12.60,1
6.00,8.00,2012.00,30.00,54.00,14.00,3.10,70.50,11.00,9.10,1.30,10.50,0.80,0
7.00,8.00,2012.00,34.00,63.00,13.00,2.90,69.70,7.20,9.80,1.20,6.90,0.60,0
8.00,8.00,2012.00,37.00,56.00,11.00,0.00,87.40,11.20,20.20,5.20,11.00,5.90,1
9.00,8.00,2012.00,39.00,43.00,12.00,0.00,91.70,16.50,30.90,9.60,16.40,12.70,1
10.00,8.00,2012.00,39.00,39.00,15.00,0.20,89.30,15.80,35.40,8.20,15.80,10.70,1
11.00,8.00,2012.00,40.00,31.00,15.00,0.00,94.20,22.50,46.30,16.60,22.40,21.60,1
12.00,8.00,2012.00,39.00,21.00,17.00,0.40,93.00,18.40,41.50,15.50,18.40,18.80,1
13.00,8.00,2012.00,35.00,34.00,16.00,0.20,88.30,16.90,45.10,7.50,17.50,10.50,1
14.00,8.00,2012.00,37.00,40.00,13.00,0.00,91.90,22.30,55.50,10.80,22.30,15.70,1
15.00,8.00,2012.00,35.00,46.00,13.00,0.30,83.90,16.90,54.20,3.50,19.00,5.50,1
16.00,8.00,2012.00,40.00,41.00,10.00,0.10,92.00,22.60,65.10,9.50,24.20,14.80,1
17.00,8.00,2012.00,42.00,24.00,9.00,0.00,96.00,30.30,76.40,15.70,30.40,24.00,1
18.00,8.00,2012.00,37.00,37.00,14.00,0.00,94.30,35.90,86.80,16.00,35.90,26.30,1
19.00,8.00,2012.00,35.00,66.00,15.00,0.10,82.70,32.70,96.80,3.30,35.50,7.70,1
20.00,8.00,2012.00,36.00,81.00,15.00,0.00,83.70,34.40,107.00,3.80,38.10,9.00,1
21.00,8.00,2012.00,36.00,71.00,15.00,0.00,86.00,36.90,117.10,5.10,41.30,12.20,1
22.00,8.00,2012.00,37.00,53.00,14.00,0.00,89.50,41.10,127.50,8.00,45.50,18.10,1
23.00,8.00,2012.00,36.00,43.00,16.00,0.00,91.20,46.10,137.70,11.50,50.20,24.50,1
24.00,8.00,2012.00,35.00,38.00,15.00,0.00,92.10,51.30,147.70,12.20,54.90,26.90,1
25.00,8.00,2012.00,34.00,40.00,18.00,0.00,92.10,56.30,157.50,14.30,59.50,31.10,1
26.00,8.00,2012.00,33.00,37.00,16.00,0.00,92.20,61.30,167.20,13.10,64.00,30.30,1
27.00,8.00,2012.00,36.00,54.00,14.00,0.00,91.00,65.90,177.30,10.00,68.00,26.10,1
28.00,8.00,2012.00,35.00,56.00,14.00,0.40,79.20,37.00,166.00,2.10,30.60,6.10,0
29.00,8.00,2012.00,35.00,53.00,17.00,0.50,80.20,20.70,149.20,2.70,30.60,5.90,1
30.00,8.00,2012.00,34.00,49.00,15.00,0.00,89.20,24.80,159.10,8.10,35.70,16.00,1
31.00,8.00,2012.00,30.00,59.00,19.00,0.00,89.10,27.80,168.20,9.80,39.30,19.40,1
1.00,9.00,2012.00,29.00,86.00,16.00,0.00,37.90,0.90,8.20,0.10,1.40,0.00,0
2.00,9.00,2012.00,28.00,67.00,19.00,0.00,75.40,2.90,16.30,2.00,4.00,0.80,0
3.00,9.00,2012.00,28.00,75.00,16.00,0.00,82.20,4.40,24.30,3.30,6.00,2.50,1
4.00,9.00,2012.00,30.00,66.00,15.00,0.20,73.50,4.10,26.60,1.50,6.00,0.70,0
5.00,9.00,2012.00,30.00,58.00,12.00,4.10,66.10,4.00,8.40,1.00,3.90,0.40,0
6.00,9.00,2012.00,34.00,71.00,14.00,6.50,64.50,3.30,9.10,1.00,3.50,0.40,0
7.00,9.00,2012.00,31.00,62.00,15.00,0.00,83.30,5.80,17.70,3.80,6.40,3.20,1
8.00,9.00,2012.00,30.00,88.00,14.00,0.00,82.50,6.60,26.10,3.00,8.10,2.70,1
9.00,9.00,2012.00,30.00,80.00,15.00,0.00,83.10,7.90,34.50,3.50,10.00,3.70,1
10.00,9.00,2012.00,29.00,74.00,15.00,1.10,59.50,4.70,8.20,0.80,4.60,0.30,0
11.00,9.00,2012.00,30.00,73.00,14.00,0.00,79.20,6.50,16.60,2.10,6.60,1.20,0
12.00,9.00,2012.00,31.00,72.00,14.00,0.00,84.20,8.30,25.20,3.80,9.10,3.90,1
13.00,9.00,2012.00,29.00,49.00,19.00,0.00,88.60,11.50,33.40,9.10,12.40,10.30,1
14.00,9.00,2012.00,28.00,81.00,15.00,0.00,84.60,12.60,41.50,4.30,14.30,5.70,1
15.00,9.00,2012.00,32.00,51.00,13.00,0.00,88.70,16.00,50.20,6.90,17.80,9.80,1
16.00,9.00,2012.00,33.00,26.00,13.00,0.00,93.90,21.20,59.20,14.20,22.40,19.30,1
17.00,9.00,2012.00,34.00,44.00,12.00,0.00,92.50,25.20,63.30,11.20,26.20,17.50,1
18.00,9.00,2012.00,36.00,33.00,13.00,0.10,90.60,25.80,77.80,9.00,28.20,15.40,1
19.00,9.00,2012.00,29.00,41.00,8.00,0.10,83.90,24.90,86.00,2.70,28.90,5.60,1
20.00,9.00,2012.00,34.00,58.00,13.00,0.20,79.50,18.70,88.00,2.10,24.40,3.80,0
21.00,9.00,2012.00,35.00,34.00,17.00,0.00,92.20,23.60,97.30,13.80,29.40,21.60,1
22.00,9.00,2012.00,33.00,64.00,13.00,0.00,88.90,26.10,106.30,7.10,32.40,13.70,1
23.00,9.00,2012.00,35.00,56.00,14.00,0.00,89.00,29.40,115.60,7.50,36.00,15.20,1
24.00,9.00,2012.00,26.00,49.00,6.00,2.00,61.30,11.90,28.10,0.60,11.90,0.40,0
25.00,9.00,2012.00,28.00,70.00,15.00,0.00,79.90,13.80,36.10,2.40,14.10,3.00,0
26.00,9.00,2012.00,30.00,65.00,14.00,0.00,85.40,16.00,44.50,4.50,16.90,6.50,1
27.00,9.00,2012.00,28.00,87.00,15.00,4.40,41.10,6.50,8.00,0.10,6.20,0.00,0
28.00,9.00,2012.00,27.00,87.00,29.00,0.50,45.90,3.50,7.90,0.40,3.40,0.20,0
29.00,9.00,2012.00,24.00,54.00,18.00,0.10,79.70,4.30,15.20,1.70,5.10,0.70,0
30.00,9.00,2012.00,24.00,64.00,15.00,0.20,67.30,3.80,16.50,1.20,4.80,0.50,0
